timestamp,symbol,open,high,low,close,volume,trade_count,vwap
2023-01-03 09:30:00-05:00,TREND,150.0,152.34,150.0,151.5,11948,71,151.28
2023-01-03 09:31:00-05:00,TREND,152.14,152.14,150.29,151.13,13803,70,151.19
2023-01-03 09:32:00-05:00,TREND,151.35,154.18,151.35,153.14,6009,43,152.89
2023-01-03 09:33:00-05:00,TREND,153.96,158.56,153.96,157.92,4509,38,156.81
2023-01-03 09:34:00-05:00,TREND,157.69,157.69,157.09,157.24,3208,34,157.34
2023-01-03 09:35:00-05:00,TREND,157.5,160.09,153.0,156.54,5474,56,156.54
2023-01-03 09:36:00-05:00,TREND,156.89,161.85,156.89,161.62,11955,66,160.12
2023-01-03 09:37:00-05:00,TREND,161.44,164.95,161.44,164.16,15713,105,163.51
2023-01-03 09:38:00-05:00,TREND,163.65,163.65,162.56,162.68,5084,27,162.96
2023-01-03 09:39:00-05:00,TREND,162.73,166.69,162.32,164.5,10535,63,164.5
2023-01-03 09:40:00-05:00,TREND,164.36,164.36,162.14,163.04,3601,52,163.18
2023-01-03 09:41:00-05:00,TREND,162.97,162.97,160.2,161.57,13354,222,161.58
2023-01-03 09:42:00-05:00,TREND,161.88,163.11,161.71,162.4,4634,53,162.4
2023-01-03 09:43:00-05:00,TREND,161.86,161.86,156.12,156.36,7111,45,158.1
2023-01-03 09:44:00-05:00,TREND,156.17,156.17,149.84,151.1,19855,315,152.37
2023-01-03 09:45:00-05:00,TREND,151.33,151.33,148.03,149.45,2589,15,149.61
2023-01-03 09:46:00-05:00,TREND,149.29,149.29,145.97,146.5,3952,20,147.25
2023-01-03 09:47:00-05:00,TREND,146.85,149.0,145.94,147.47,4288,29,147.47
2023-01-03 09:48:00-05:00,TREND,147.35,147.35,144.68,144.86,3026,17,145.63
2023-01-03 09:49:00-05:00,TREND,144.47,144.47,140.09,140.87,5185,87,141.81
2023-01-03 09:50:00-05:00,TREND,140.74,148.12,140.74,145.1,4732,30,144.65
2023-01-03 09:51:00-05:00,TREND,144.92,147.26,141.71,144.48,3017,30,144.48
2023-01-03 09:52:00-05:00,TREND,144.09,145.61,143.83,144.73,1071,12,144.73
2023-01-03 09:53:00-05:00,TREND,144.61,144.61,140.66,140.7,3752,43,141.99
2023-01-03 09:54:00-05:00,TREND,140.5,140.5,138.52,139.22,3724,18,139.42
2023-01-03 09:55:00-05:00,TREND,139.37,142.9,136.23,139.57,1302,19,139.57
2023-01-03 09:56:00-05:00,TREND,139.48,140.03,132.84,136.44,3962,32,136.44
2023-01-03 09:57:00-05:00,TREND,136.49,139.67,135.34,137.5,3563,49,137.5
2023-01-03 09:58:00-05:00,TREND,137.53,137.53,135.39,135.9,1848,36,136.28
2023-01-03 09:59:00-05:00,TREND,135.52,135.86,134.45,135.16,5586,28,135.16
2023-01-03 10:00:00-05:00,TREND,134.86,134.86,133.15,133.57,3293,41,133.86
2023-01-03 10:01:00-05:00,TREND,133.55,139.74,133.55,138.66,1739,28,137.32
2023-01-03 10:02:00-05:00,TREND,138.41,142.47,134.85,138.66,5144,35,138.66
2023-01-03 10:03:00-05:00,TREND,138.67,138.67,133.6,135.8,3133,46,136.02
2023-01-03 10:04:00-05:00,TREND,135.89,138.37,135.89,138.09,2996,48,137.45
2023-01-03 10:05:00-05:00,TREND,137.94,137.94,133.37,134.8,4432,35,135.38
2023-01-03 10:06:00-05:00,TREND,134.91,139.22,131.6,135.41,4077,32,135.41
2023-01-03 10:07:00-05:00,TREND,135.66,135.66,129.69,130.24,4194,30,131.87
2023-01-03 10:08:00-05:00,TREND,130.21,130.21,126.62,126.87,1219,9,127.9
2023-01-03 10:09:00-05:00,TREND,126.85,128.63,126.18,127.4,3007,18,127.4
2023-01-03 10:10:00-05:00,TREND,127.19,130.45,127.19,129.33,2987,53,128.99
2023-01-03 10:11:00-05:00,TREND,129.67,130.81,128.83,129.82,862,7,129.82
2023-01-03 10:12:00-05:00,TREND,130.03,130.05,129.07,129.56,2818,21,129.56
2023-01-03 10:13:00-05:00,TREND,129.57,130.33,127.31,128.82,1073,6,128.82
2023-01-03 10:14:00-05:00,TREND,129.02,129.02,124.51,125.1,844,5,126.21
2023-01-03 10:15:00-05:00,TREND,125.15,125.15,122.9,123.35,1045,13,123.8
2023-01-03 10:16:00-05:00,TREND,123.34,123.34,122.08,122.25,1968,15,122.56
2023-01-03 10:17:00-05:00,TREND,121.58,125.69,121.58,124.91,1831,15,124.05
2023-01-03 10:18:00-05:00,TREND,124.63,126.02,124.63,125.81,4882,32,125.48
2023-01-03 10:19:00-05:00,TREND,126.05,126.05,120.69,121.48,1595,27,122.74
